Designator,Footprint,Quantity,Value,LCSC Part #
", HEX_EDGE_18, HEX_EDGE_17, HEX_EDGE_16, HEX_EDGE_15, HEX_EDGE_14, HEX_EDGE_13, HEX_EDGE_12, HEX_EDGE_11, HEX_EDGE_10, HEX_EDGE_9, HEX_EDGE_8, HEX_EDGE_7, HEX_EDGE_6, HEX_EDGE_5, HEX_EDGE_4, HEX_EDGE_3, HEX_EDGE_2",b9cf7df6-7b49-4194-bf11-16aaca528749,18,,
BATTERY?,3500mAh LiPo,1,3500mAh LiPo,
C1,C0402,1,GRM155Z71A105KE01D,C528974
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C4, C6, C7, C8, C9",C0201,21,GRM033C71C104KE14D,C85923
"C2, C3",C0402,2,0402CG120F500NT,C182477
"C26, C27",C0402,2,GRM155C71C105KE11D,C576449
C5,C0603,1,GRM188C71C475KE21D,C237615
D1,DSN2_L1.0-W0.6-RD,1,NSR05F20NXT5G,C94366
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",X1-DFN1006-2_L1.0-W0.6-RD,19,CDSQC4148-HF,C6341459
F1,F1206,1,SMD1206-150C-16V,C2760275
L1,IND-SMD_L2.0-W1.6_BRC2016,1,BRC2016T100K,C223154
Q1,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,"PMF170XP,115",C389353
Q2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C2830320,C2830320
R1,R0402,1,RC0402FR-07100KL,C60491
R10,R0201,1,RC0201FR-07680RL,C274876
"R11, R12, R7",R0402,3,RC0402FR-0710KL,C60490
R13,R0402,1,RT0402BRD0737K4L,C852746
"R14, R15, R8, R9",R0402,4,RC0402FR-075K1L,C105872
"R16, R4, R6",R0402,3,RC0402FR-071ML,C138033
"R2, R5",R0402,2,WR04W2494FTL,C368359
R3,R0402,1,RC0402FR-074M3L,C327242
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
U1,SC-70-5_L2.0-W1.3-P0.65-LS2.1-BR,1,TLV7031QDCKRQ1,C3658630
U2,WIRELM-SMD_E73-2G4M08S1C,1,E73-2G4M08S1C,C356849
U3,X2SON-8_L1.4-W1.0-P0.35-BL,1,SN74LVC1G74DQER,C2870716
U4,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,BL8573CS8TR,C2999147
U5,SOT-23-6,1,DW01A,
U6,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S(LF)(SN),C173752
U7,VQFN-32_L4.0-W4.0-P0.40-TL-EP,1,LP5024RSMR,C427525
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,OSC-SMD_L3.2-W1.5,1,FC-13532.768KHZ9PF20PPM,C99010
