Designator,Footprint,Quantity,Value,LCSC Part #
BATTERY?,3500mAh LiPo,1,3500mAh LiPo,
"C1, C3",C0402,2,0402CG120J500NT,C1547
"C2, C7, C8",C0402,3,CL05A105KA5NQNC,C52923
"C4, C6, C9",C0402,3,CL05B104KB54PNC,C307331
C5,C0402,1,ZRB15XR61A475KE01D,C703694
D1,DSN2_L1.0-W0.6-RD,1,NSR05F20NXT5G,C94366
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",X1-DFN1006-2_L1.0-W0.6-RD,19,CDSQC4148-HF,C6341459
F1,F1206,1,SMD1206-150C-16V,C2760275
"FI1, FI2, FI3",,3,Fiducial_1mm_Mask2mm,
H1,HDR-TH_3P-P2.54_HC-PM254-8.5H-1X3PW,1,HC-PM254-8.5H-1X3PW,C22373927
L1,IND-SMD_L2.0-W1.6_BRC2016,1,BRC2016T100K,C223154
Q1,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,"PMF170XP,115",C389353
Q2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C2830320,C2830320
"R1, R17",R0402,2,0402WGF1004TCE,C26083
"R10, R14, R16, R9",R0402,4,0402WGF5101TCE,C25905
R11,R0402,1,RC0402FR-07680RL,C137948
"R12, R13, R4, R7, R8",R0402,5,0402WGF1002TCE,C25744
R2,R0402,1,WR04W2494FTL,C368359
R3,R0402,1,RC0402FR-07100KL,C60491
R5,R0805,1,RC0805FR-072M61L,C483050
R6,R0402,1,ERA2AED753X,C491105
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SN74LVC1G17DBVR,C7836
U2,WIRELM-SMD_E73-2G4M08S1C,1,E73-2G4M08S1C,C356849
U3,X2SON-8_L1.4-W1.0-P0.35-BL,1,SN74LVC1G74DQER,C2870716
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,BL8573CS8TR,C2999147
U6,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,DW01A_C42380662,C42380662
U7,VQFN-32_L4.0-W4.0-P0.40-TL-EP,1,LP5024RSMR,C427525
U8,DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm,1,MAX17048,C2682616
U9,SOT-23-6,1,USBLC6-2SC6,
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,OSC-SMD_L3.2-W1.5,1,FC-13532.768KHZ9PF20PPM,C99010
