Designator,Mid X,Mid Y,Rotation,Layer
BATTERY?,118.941066,-75.287554,0.0,bottom
C1,128.81,-76.24,270.0,top
C2,123.36,-58.97,90.0,top
C3,128.81,-78.28,90.0,top
C4,121.8,-54.34,270.0,top
C5,136.9,-90.364997,270.0,top
C6,143.98,-96.25,0.0,top
C7,126.74,-78.13,0.0,top
C8,126.74,-84.44,0.0,top
C9,129.17,-67.09,0.0,top
D1,123.39,-60.97,90.0,top
D10,70.029966,-59.7374,270.0,top
D11,76.299966,-77.17695,0.0,top
D12,113.536966,-120.17695,0.0,top
D13,88.648966,-48.9874,270.0,top
D14,88.648966,-70.49,270.0,top
D15,88.648966,-91.9874,270.0,top
D16,132.155966,-109.42695,0.0,top
D17,107.267966,-59.7374,270.0,top
D18,107.267884,-81.2374,270.0,top
D19,107.267966,-102.7374,270.0,top
D2,32.791966,-59.7374,270.0,top
D20,150.774966,-120.17695,0.0,top
D3,32.791966,-81.2374,270.0,top
D4,39.061966,-98.67695,0.0,top
D5,51.410966,-48.9874,270.0,top
D6,51.410966,-70.4874,270.0,top
D7,57.680966,-87.92695,0.0,top
D8,94.931266,-109.42695,0.0,top
D9,70.029966,-38.2374,270.0,top
F1,130.280284,-38.46215,270.0,top
FI1,153.160882,-49.0,0.0,top
FI2,42.16,-49.0,0.0,top
FI3,153.160882,-113.4174,0.0,top
H1,149.53,-64.66,270.0,top
L1,131.28,-87.7,180.0,top
Q1,126.602298,-55.597798,90.0,top
Q2,129.57,-48.52,180.0,top
R1,140.61,-72.36,90.0,top
R10,125.32,-37.1,270.0,top
R11,130.08,-43.72,270.0,top
R12,120.8526,-44.205944,180.0,top
R13,120.8526,-42.885944,180.0,top
R14,126.74,-83.21,0.0,top
R16,126.74,-82.0,0.0,top
R17,126.74,-80.74,0.0,top
R2,141.93,-72.36,90.0,top
R3,128.95,-57.71,180.0,top
R4,126.86,-69.68,90.0,top
R5,131.15,-60.87,270.0,top
R6,126.74,-79.4,0.0,top
R7,121.83,-56.36,270.0,top
R8,141.55,-96.28,0.0,top
R9,126.65,-37.1,270.0,top
SW1,142.63923,-93.9967,0.0,top
U1,126.678,-59.86,180.0,top
U2,140.032082,-81.1674,90.0,top
U3,123.625,-55.4364,90.0,top
U5,125.5776,-43.525944,90.0,top
U6,124.7752,-48.518346,270.0,top
U7,122.34708,-81.3249,270.0,top
U8,128.73113,-69.31,180.0,top
U9,133.72,-35.015,270.0,top
USBC1,125.981082,-31.6674,180.0,top
X1,130.71,-77.36,270.0,top
