Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C3_2",C0402,2,0402CG120J500NT,C1547
"C1, C3",C0402,2,0402CG120F500NT,C182477
"C10, C13, C4, C6_2, C6, C9_2",C0402,6,CL05B104KB54PNC,C307331
"C2, C7_2, C7, C8_2, C8, C9",C0402,6,CL05A105KA5NQNC,C52923
"C5_2, C5",C0402,2,ZRB15XR61A475KE01D,C703694
"D1_2, D1",DSN2_L1.0-W0.6-RD,2,NSR05F20NXT5G,C94366
"D10_2, D10, D11_2, D11, D12_2, D12, D13_2, D13, D14_2, D14, D15_2, D15, D16_2, D16, D17_2, D17, D18_2, D18, D19_2, D19, D2_2, D2, D20_2, D20, D3_2, D3, D4_2, D4, D5_2, D5, D6_2, D6, D7_2, D7, D8_2, D8, D9_2, D9",X1-DFN1006-2_L1.0-W0.6-RD,38,CDSQC4148-HF,C6341459
"F1_2, F1",F1206,2,SMD1206-150C-16V,C2760275
"FI1, FI2, FI3, FI6",,4,Fiducial_1mm_Mask2mm,
H1_2,HDR-TH_3P-P2.54_HC-PM254-8.5H-1X3PW,1,HC-PM254-8.5H-1X3PW,C22373927
L1_2,IND-SMD_L2.0-W1.6_BRC2016,1,BRC2016T100K,C223154
"Q1_2, Q1",SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,2,"PMF170XP,115",C389353
"Q2_2, Q2",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,2,FS8205A_C2830320,C2830320
"R1_2, R1, R17_2, R17",R0402,4,0402WGF1004TCE,C26083
"R10_2, R10, R14_2, R14, R16_2, R16, R9_2, R9",R0402,8,0402WGF5101TCE,C25905
"R11_2, R11",R0402,2,RC0402FR-07680RL,C137948
"R12, R13_2, R13, R15, R18, R19, R3, R4, R5, R7_2, R8_2, R8",R0402,12,0402WGF1002TCE,C25744
"R2_2, R2",R0402,2,WR04W2494FTL,C368359
"R5_2, R7",R0402,2,RTT022614FTH,C166493
"R6_2, R6",R0402,2,ERA2AED753X,C491105
"SW1_2, SW1",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
"U1_2, U1",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,2,SN74LVC1G17DBVR,C7836
U10,X2SON-8_L1.4-W1.0-P0.35-BL,1,SN74LVC1G74DQER,C2870716
U2_2,WIRELM-SMD_E73-2G4M08S1C,1,E73-2G4M08S1C,C356849
U4_2,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S(LF)(SN),C173752
"U5_2, U5",ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,2,BL8573CS8TR,C2999147
U6_2,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,DW01A_C42380662,C42380662
U7_2,VQFN-32_L4.0-W4.0-P0.40-TL-EP,1,LP5024RSMR,C427525
"U8_2, U8",DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm,2,MAX17048,C2682616
"U9_2, U9",SOT-23-6,2,USBLC6-2SC6,
"USBC1_2, USBC1",USB-C_SMD-TYPE-C-31-M-12_1,2,TYPE-C-31-M-12,C165948
"X1_2, X1",OSC-SMD_L3.2-W1.5,2,FC-13532.768KHZ9PF20PPM,C99010
