Designator,Mid X,Mid Y,Rotation,Layer
C1_2,280.186064,-73.198033,270.0,top
C1,64.742283,-94.010644,90.0,top
C10,72.589567,-80.325394,90.0,top
C13,62.229567,-65.240394,180.0,top
C2,274.736064,-55.928033,90.0,top
C3_2,280.186064,-75.238033,90.0,top
C3,64.742283,-91.970644,270.0,top
C4,273.176064,-51.298033,270.0,top
C5_2,288.276064,-87.32303,270.0,top
C5,57.029283,-79.614794,0.0,top
C6_2,295.356064,-93.208033,0.0,top
C6,59.310367,-79.614794,180.0,top
C7_2,278.116064,-75.088033,0.0,top
C7,66.937285,-92.048144,180.0,top
C8_2,278.116064,-81.398033,0.0,top
C8,69.019283,-85.053244,270.0,top
C9_2,280.546064,-64.048033,0.0,top
C9,63.899567,-64.870394,270.0,top
D1_2,274.766064,-57.928033,90.0,top
D1,62.219567,-62.665394,0.0,top
D10_2,221.40603,-56.695433,270.0,top
D10,124.342283,-67.360644,270.0,top
D11_2,227.67603,-74.134983,0.0,top
D11,122.342283,-67.360644,90.0,top
D12_2,264.91303,-117.134983,0.0,top
D12,85.104283,-110.430644,90.0,top
D13_2,240.02503,-45.945433,270.0,top
D13,105.723283,-56.610644,270.0,top
D14_2,240.02503,-67.448033,270.0,top
D14,105.723283,-78.110644,270.0,top
D15_2,240.02503,-88.945433,270.0,top
D15,103.715283,-99.615844,270.0,top
D16_2,283.53203,-106.384983,0.0,top
D16,79.678318,-110.297163,90.0,top
D17_2,258.64403,-56.695433,270.0,top
D17,87.104283,-67.360644,270.0,top
D18_2,258.643948,-78.195433,270.0,top
D18,87.104283,-88.860644,270.0,top
D19_2,258.64403,-99.695433,270.0,top
D19,98.567616,-99.540644,0.0,top
D2_2,184.16803,-56.695433,270.0,top
D2,160.211283,-67.313244,270.0,top
D20_2,302.15103,-117.134983,0.0,top
D20,55.251652,-110.297163,90.0,top
D3_2,184.16803,-78.195433,270.0,top
D3,165.010283,-88.790644,270.0,top
D4_2,190.43803,-95.634983,0.0,top
D4,159.879283,-88.720644,180.0,top
D5_2,202.78703,-45.945433,270.0,top
D5,142.961283,-56.610644,270.0,top
D6_2,202.78703,-67.445433,270.0,top
D6,143.599683,-78.032044,180.0,top
D7_2,209.05703,-84.884983,0.0,top
D7,141.461283,-78.110644,90.0,top
D8_2,246.30733,-106.384983,0.0,top
D8,105.723283,-99.610644,270.0,top
D9_2,221.40603,-35.195433,270.0,top
D9,124.342283,-45.860644,270.0,top
F1_2,281.656348,-35.420183,270.0,top
F1,71.309567,-47.005394,270.0,top
FI1,304.536946,-45.958033,0.0,top
FI2,193.536064,-45.958033,0.0,top
FI3,304.536946,-110.375433,0.0,top
FI4,40.353483,-56.623244,0.0,top
FI5,169.353483,-56.623244,0.0,top
FI6,40.353483,-121.040644,0.0,top
H1_2,44.319283,-73.223244,90.0,top
L1_2,62.599283,-82.943244,0.0,top
Q1_2,277.978362,-52.555831,90.0,top
Q1,69.464567,-67.880394,0.0,top
Q2_2,280.946064,-45.478033,180.0,top
Q2,70.299283,-57.058244,180.0,top
R1_2,294.627264,-69.349877,90.0,top
R1,57.489567,-65.335394,90.0,top
R10_2,276.696064,-34.058033,270.0,top
R10,66.221972,-45.805844,270.0,top
R11_2,281.456064,-40.678033,270.0,top
R11,70.716883,-52.079188,270.0,top
R12,272.228664,-41.163977,180.0,top
R13_2,272.228664,-39.843977,180.0,top
R13,68.459567,-80.730394,180.0,top
R14_2,278.116064,-80.168033,0.0,top
R14,67.429567,-87.845394,270.0,top
R15,61.834567,-52.705394,180.0,top
R16_2,278.116064,-78.958033,0.0,top
R16,66.279567,-87.845394,270.0,top
R17_2,278.116064,-77.698033,0.0,top
R17,66.937285,-89.548144,180.0,top
R18,61.834567,-51.455394,180.0,top
R19,61.859567,-67.465394,270.0,top
R2_2,293.357264,-69.349877,90.0,top
R2,57.489567,-67.510394,90.0,top
R3,280.326064,-54.668033,180.0,top
R4,278.236064,-66.638033,90.0,top
R5_2,280.835064,-56.446677,270.0,top
R5,62.169567,-61.415394,0.0,top
R6_2,278.116064,-76.358033,0.0,top
R6,66.937285,-90.798144,180.0,top
R7_2,273.206064,-53.318033,270.0,top
R7,62.169567,-63.940394,0.0,top
R8_2,292.926064,-93.238033,0.0,top
R8,65.376283,-82.272082,180.0,top
R9_2,278.026064,-34.058033,270.0,top
R9,68.751972,-45.825844,270.0,top
SW1_2,294.015294,-90.954733,0.0,top
SW1,63.438767,-79.411594,0.0,top
U1_2,278.054064,-56.818033,180.0,top
U1,66.199567,-66.590394,270.0,top
U10,63.404567,-66.745394,90.0,top
U2_2,53.482283,-88.790644,270.0,top
U4_2,61.629283,-47.418244,90.0,bottom
U5_2,276.953664,-40.483977,90.0,top
U5,66.606883,-52.069188,90.0,top
U6_2,65.804483,-57.06159,270.0,top
U7_2,71.167285,-88.948144,90.0,top
U8_2,280.107194,-66.268033,180.0,top
U8,69.879567,-82.606524,90.0,top
U9_2,285.096064,-31.973033,270.0,top
U9,75.119567,-42.665394,270.0,top
USBC1_2,277.357146,-28.725433,180.0,top
USBC1,67.489283,-39.413244,180.0,top
X1_2,282.086064,-74.318033,270.0,top
X1,62.842283,-92.890644,90.0,top
