Designator,Mid X,Mid Y,Rotation,Layer
,270.55,-24.15,30.0,top
BATTERY?,129.888064,-75.770154,0.0,bottom
C1,100.255,-61.25,0.0,bottom
C10,198.271173,-32.61,150.0,bottom
C11,198.271173,-54.11,150.0,bottom
C12,198.271173,-75.61,150.0,bottom
C13,142.408827,-107.865,150.0,bottom
C14,179.651173,-21.86,150.0,bottom
C15,179.651173,-43.36,150.0,bottom
C16,179.651173,-64.86,150.0,bottom
C17,123.788827,-97.115,150.0,bottom
C18,161.031173,-32.61,150.0,bottom
C19,161.031173,-54.11,150.0,bottom
C2,120.049998,-86.87,90.0,top
C20,161.031173,-75.61,150.0,bottom
C21,105.168827,-107.865,150.0,bottom
C22,142.411173,-43.36,150.0,bottom
C23,142.411173,-64.86,150.0,bottom
C24,142.411173,-86.36,150.0,bottom
C25,105.171173,-43.36,150.0,bottom
C26,122.245,-84.9075,180.0,top
C27,122.175,-78.5575,0.0,top
C3,120.049998,-84.83,270.0,top
C4,107.2744,-66.228,180.0,top
C5,111.925,-72.2,90.0,top
C6,216.9,-43.375,150.0,bottom
C7,216.9,-64.875,150.0,bottom
C8,216.9,-86.375,150.0,bottom
C9,123.791173,-54.11,150.0,bottom
D1,100.675,-62.88,90.0,bottom
D10,186.774999,-73.050001,150.0,bottom
D11,168.024999,-40.746892,150.0,bottom
D12,168.024999,-62.246892,150.0,bottom
D13,168.024999,-83.746892,150.0,bottom
D14,149.524999,-51.550001,150.0,bottom
D15,149.524999,-73.050001,150.0,bottom
D16,149.524999,-94.550001,150.0,bottom
D17,131.024999,-62.300001,150.0,bottom
D18,130.774999,-105.300001,150.0,bottom
D19,149.524999,-116.050001,150.0,bottom
D2,224.025,-51.550001,150.0,bottom
D20,112.274999,-116.050001,150.0,bottom
D3,224.024999,-73.050001,150.0,bottom
D4,224.024999,-94.550001,150.0,bottom
D5,205.274999,-40.800001,150.0,bottom
D6,205.275,-62.3,150.0,bottom
D7,205.275,-83.8,150.0,bottom
D8,186.774999,-30.050001,150.0,bottom
D9,186.774999,-51.550001,150.0,bottom
F1,117.65,-35.85,0.0,bottom
HEX_EDGE_18,160.081,-81.65,270.0,top
HEX_EDGE_17,178.598699,-70.971519,210.0,top
HEX_EDGE_16,104.142777,-92.392794,150.0,top
HEX_EDGE_15,215.8667,-92.406519,210.0,top
HEX_EDGE_14,215.8667,-49.406519,150.0,top
HEX_EDGE_13,141.3917,-113.906519,210.0,top
HEX_EDGE_12,215.858777,-70.892794,330.0,top
HEX_EDGE_11,122.7727,-103.156519,210.0,top
HEX_EDGE_10,197.2477,-38.656519,30.0,top
HEX_EDGE_9,104.1507,-70.906519,150.0,top
HEX_EDGE_8,122.860979,-38.653248,30.0,top
HEX_EDGE_7,104.225,-49.4,30.0,top
HEX_EDGE_6,141.3907,-49.406519,90.0,top
HEX_EDGE_5,178.644,-27.906519,30.0,top
HEX_EDGE_4,160.029679,-38.659767,90.0,top
HEX_EDGE_3,104.161078,-113.892795,90.0,top
HEX_EDGE_2,197.1917,-81.663038,210.0,top
L1,118.38,-76.74,0.0,top
Q1,105.54,-64.4802,0.0,bottom
Q2,113.05,-39.625,270.0,bottom
R1,107.925,-61.705,90.0,bottom
R10,119.19,-39.24,0.0,bottom
R11,118.53,-48.05,270.0,bottom
R12,119.86,-48.05,270.0,bottom
R13,122.245,-83.6575,180.0,top
R14,122.245,-79.9075,180.0,top
R15,122.245,-81.1575,180.0,top
R16,122.245,-82.4075,180.0,top
R2,99.225,-62.935,90.0,bottom
R3,106.2,-61.075,180.0,bottom
R4,104.059998,-90.25,180.0,top
R5,106.559998,-90.25,180.0,top
R6,106.2,-62.35,0.0,bottom
R7,109.0694,-66.2055,180.0,top
R8,121.25,-37.545,270.0,bottom
R9,124.25,-37.545,270.0,bottom
SW1,108.6612,-68.453,180.0,top
U1,103.125,-61.74,0.0,bottom
U2,108.789998,-81.65,270.0,top
U3,101.9022,-65.1544,270.0,bottom
U4,119.21,-43.325,180.0,bottom
U5,113.046654,-44.1198,90.0,bottom
U6,123.95,-43.3,90.0,bottom
U7,126.475,-81.8075,90.0,top
USBC1,122.842998,-31.15,180.0,bottom
X1,118.149998,-85.75,90.0,top
