Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",C0402,2,0402CG120F500NT,C182477
"C10, C13",C0402,2,CL05B104KB54PNC,C307331
C5,C0402,1,ZRB15XR61A475KE01D,C703694
C6,C0201,1,GRM033C71C104KE14D,C85923
"C7, C8, C9",C0402,3,CL05A105KA5NQNC,C52923
D1,DSN2_L1.0-W0.6-RD,1,NSR05F20NXT5G,C94366
F1,F1206,1,SMD1206-150C-16V,C2760275
FI6,,1,Fiducial_1mm_Mask2mm,
Q1,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,"PMF170XP,115",C389353
Q2,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,FS8205A_C2830320,C2830320
R1,R0402,1,RC0402FR-071ML,C138033
"R10, R14, R16, R9",R0402,4,0402WGF5101TCE,C25905
R11,R0402,1,RC0402FR-07680RL,C137948
"R13, R15, R18, R19",R0402,4,0402WGF1002TCE,C25744
R17,R0402,1,0402WGF1004TCE,C26083
R2,R0402,1,WR04W2494FTL,C368359
R5,R0402,1,RC0402FR-07100KL,C60491
R6,R0402,1,ERA2AED753X,C491105
R7,R0402,1,RTT022614FTH,C166493
R8,R0402,1,RC0402FR-0710KL,C60490
SW1,SW-SMD_L3.9-W3.0-P4.45,1,TS-1088-AR02016,C720477
U1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,SN74LVC1G17DBVR,C7836
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,BL8573CS8TR,C2999147
U8,DFN-8_2x2mm_P0.5mm_EP1.2x0.8mm,1,MAX17048,C2682616
U9,SOT-23-6,1,USBLC6-2SC6,
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
X1,OSC-SMD_L3.2-W1.5,1,FC-13532.768KHZ9PF20PPM,C99010
