Designator,Mid X,Mid Y,Rotation,Layer
C1,64.752716,-89.60525,90.0,top
C10,72.6,-75.92,90.0,top
C13,62.24,-60.835,180.0,top
C3,64.752716,-87.56525,270.0,top
C5,57.039716,-76.15785,330.0,top
C6,58.969716,-75.087684,180.0,top
C7,66.947718,-87.64275,180.0,top
C8,69.029716,-80.64785,270.0,top
C9,63.91,-60.465,270.0,top
D1,62.23,-58.26,0.0,top
F1,71.32,-42.6,270.0,top
FI4,40.363916,-52.21785,0.0,top
FI5,169.363916,-52.21785,0.0,top
FI6,40.363916,-116.63525,0.0,top
Q1,69.475,-63.475,0.0,top
Q2,70.309716,-52.65285,180.0,top
R1,57.5,-60.93,90.0,top
R10,66.232405,-41.40045,270.0,top
R11,70.727316,-47.673794,270.0,top
R13,68.47,-76.325,180.0,top
R14,67.44,-83.44,270.0,top
R15,61.845,-48.3,180.0,top
R16,66.29,-83.44,270.0,top
R17,66.947718,-85.14275,180.0,top
R18,61.845,-47.05,180.0,top
R19,61.87,-63.06,270.0,top
R2,57.5,-63.105,90.0,top
R5,62.18,-57.01,0.0,top
R6,66.947718,-86.39275,180.0,top
R7,62.18,-59.535,0.0,top
R8,65.669716,-77.76785,180.0,top
R9,68.762405,-41.42045,270.0,top
SW1,62.869716,-75.37785,0.0,top
U1,66.21,-62.185,270.0,top
U5,66.617316,-47.663794,90.0,top
U8,69.89,-78.20113,90.0,top
U9,75.13,-38.26,270.0,top
USBC1,67.499716,-35.00785,180.0,top
X1,62.852716,-88.48525,90.0,top
